Data,Ospiti
2021-06-01 00:00:00.000000 UTC,319.0
2021-06-02 00:00:00.000000 UTC,396.0
2021-06-03 00:00:00.000000 UTC,188.0
2021-06-04 00:00:00.000000 UTC,258.0
2021-06-05 00:00:00.000000 UTC,571.0
2021-06-06 00:00:00.000000 UTC,488.0
2021-06-07 00:00:00.000000 UTC,214.0
2021-06-08 00:00:00.000000 UTC,259.0
2021-06-09 00:00:00.000000 UTC,373.0
2021-06-10 00:00:00.000000 UTC,344.0
2021-06-11 00:00:00.000000 UTC,333.0
2021-06-12 00:00:00.000000 UTC,473.0
2021-06-13 00:00:00.000000 UTC,352.0
2021-06-14 00:00:00.000000 UTC,220.0
2021-06-15 00:00:00.000000 UTC,338.0
2021-06-16 00:00:00.000000 UTC,197.0
2021-06-17 00:00:00.000000 UTC,271.0
2021-06-18 00:00:00.000000 UTC,350.0
2021-06-19 00:00:00.000000 UTC,500.0
2021-06-20 00:00:00.000000 UTC,345.0
2021-06-21 00:00:00.000000 UTC,217.0
2021-06-22 00:00:00.000000 UTC,271.0
2021-06-23 00:00:00.000000 UTC,334.0
2021-06-24 00:00:00.000000 UTC,336.0
2021-06-25 00:00:00.000000 UTC,352.0
2021-06-26 00:00:00.000000 UTC,275.0
2021-06-27 00:00:00.000000 UTC,325.0
2021-06-28 00:00:00.000000 UTC,283.0
2021-06-29 00:00:00.000000 UTC,317.0
2021-06-30 00:00:00.000000 UTC,292.0
2021-07-01 00:00:00.000000 UTC,285.0
2021-07-02 00:00:00.000000 UTC,218.0
2021-07-03 00:00:00.000000 UTC,490.0
2021-07-04 00:00:00.000000 UTC,429.0
2021-07-05 00:00:00.000000 UTC,302.0
2021-07-06 00:00:00.000000 UTC,201.0
2021-07-07 00:00:00.000000 UTC,349.0
2021-07-08 00:00:00.000000 UTC,400.0
2021-07-09 00:00:00.000000 UTC,355.0
2021-07-10 00:00:00.000000 UTC,469.0
2021-07-11 00:00:00.000000 UTC,185.0
2021-07-12 00:00:00.000000 UTC,212.0
2021-07-13 00:00:00.000000 UTC,301.0
2021-07-14 00:00:00.000000 UTC,298.0
2021-07-15 00:00:00.000000 UTC,348.0
2021-07-16 00:00:00.000000 UTC,316.0
2021-07-17 00:00:00.000000 UTC,582.0
2021-07-18 00:00:00.000000 UTC,306.0
2021-07-19 00:00:00.000000 UTC,327.0
2021-07-20 00:00:00.000000 UTC,293.0
2021-07-21 00:00:00.000000 UTC,335.0
2021-07-22 00:00:00.000000 UTC,332.0
2021-07-23 00:00:00.000000 UTC,308.0
2021-07-24 00:00:00.000000 UTC,469.0
2021-07-25 00:00:00.000000 UTC,435.0
2021-07-26 00:00:00.000000 UTC,282.0
2021-07-27 00:00:00.000000 UTC,303.0
2021-07-28 00:00:00.000000 UTC,346.0
2021-07-29 00:00:00.000000 UTC,310.0
2021-07-30 00:00:00.000000 UTC,360.0
2021-07-31 00:00:00.000000 UTC,534.0
2021-08-01 00:00:00.000000 UTC,382.0
2021-08-02 00:00:00.000000 UTC,355.0
2021-08-03 00:00:00.000000 UTC,317.0
2021-08-04 00:00:00.000000 UTC,422.0
